List
Scott Baio
Johnny Yune
Charles Bronson
Maxwell Caulfield
Derek Jacobi
Tom Atkins
Steve Guttenberg
Marc Singer
Michael Ironside
Season Hubley
James Olson
Morgan Fairchild
Mark Miller
Gerrit Graham
John Hurt
Ronny Cox
Matt Dillon
Michael Palin
Nastassja Kinski
Alan Arkin
Ken Wahl
Ryan O'Neal
Lawrence Monoson
Barry Bostwick
Mariel Hemingway
Willie Aames
Lorne Greene
John Cassavetes
Peter Gallagher
Mark Blankfield
Leon Isaac Kennedy
Joan Collins
Kate Mulgrew
Tim Matheson
Luciano Pavarotti
Armand Assante
Robert Urich
Kathryn Harrold
Sandy Dennis
Edward Albert
Francis Ford Coppola
Jill Clayburgh
Michael O'Keefe
Raul Julia
Shepard Menken
Peter Riegert
Frederic Forrest
Peter Donat
Jennifer Beals
Denholm Elliott
Dennis Quaid
Matthew Broderick
Michael Keaton
Tom Cruise
Tom Berenger
Anthony Perkins
Dan Monahan
Charles Martin Smith
Rodney Dangerfield
Tom Selleck
C. Thomas Howell
David Knell
Caren Kaye
Sam Shepard
Keith Gordon
Christopher Walken
Melinda Dillon
Nicolas Cage
Ken Marshall
Peter Strauss
Max Gail
Phoebe Cates
Shô Kosugi
Ronny Graham
Rick Hill
David Keith
Lou Ferrigno
Kate Nelligan
Dave Thomas
Börje Ahlstedt
Cristina Raines
Steve Railsback
Rutger Hauer
Jackie Gleason
Tony Roberts
Catherine Deneuve
Burt Lancaster
Christopher Atkins
Jeffrey Byron
David Niven
Mary Beth McDonough
Margot Kidder
Joe Don Baker
Reb Brown
Martin Sheen
David Bowie
James Woods
Peter Keleghan
Jane Alexander
Elizabeth Montgomery
Tommy Lee Jones
Rosanna Arquette
Christopher Cazenove
Steve Sandor
Malcolm McDowell
Linda Griffiths
Pia Zadora
Peter Weller
Martin Yost
Randy Norton
Kevin Kline
Timothy Hutton
Matthew Modine
Bonnie Bedelia
Don Francks
Eddie Murphy
Hoyt Axton
Ralph Macchio
Kevin Bacon
Tom Hanks
Prince
F. Murray Abraham
Ralph Richardson
Robert Carradine
Lucinda Dickey
Patrick Swayze
Sam Waterston
Judie Aronson
Francesca Annis
Kay E. Kuter
Judy Davis
John Saxon
Molly Ringwald
Howard E. Rollins Jr.
Rachel Ward
D.W. Brown
Val Kilmer
Barret Oliver
Cliff Gorman
Rae Dawn Chong
Peter Horton
Robert Beltran
Mel Gibson
James Garner
Rick Springfield
Chris Penn
Lisa Hartman
Steven Bauer
Rupert Everett
Craig Wasson
Rob Lowe
Aidan Quinn
Michael Paré
Grant Cramer
Vincent Spano
Eric Roberts
Teri Garr
Tanya Roberts
Richard Mulligan
JoBeth Williams
Jon Cryer
Bernie Worrell
John Heard
Judd Nelson
Rob Reiner
Cameron Dye
Karen Allen
Robert Ginty
Joe Morton
Bruce Davison
Lilyan Chauvin
Geneviève Bujold
John Lurie
Louis Ducreux
Lenny von Dohlen
Harry Dean Stanton
Lorenzo Lamas
Debra Winger
Bill Paterson
Suzy Stokey
John Shea
Gregory Harrison
Peter Coyote
David Bradshaw
Michael J. Fox
Danny Glover
Don Ameche
Sean Astin
Mark Stewart
Emilio Estevez
Cher
Mikhail Baryshnikov
Paul Reubens
Maria Mayenzet
Anthony Michael Hall
Mark Patton
Taimak
Chris Sarandon
John Candy
Powers Boothe
Anthony Barrile
Grant Bardsley
Nicholas Rowe
Mickey Rourke
John Cusack
William Petersen
Richard Chamberlain
Eileen Brennan
Fred Ward
Clu Gulager
Michael Blevins
Betsy Russell
Caroll Spinney
Mary Steenburgen
Drew Barrymore
Ramey Ellis
Susan Sarandon
Joyce Hyser
Fairuza Balk
Sheila E.
Anthony Edwards
Mia Farrow
John Murray
Griffin Dunne
Michael Dudikoff
Lauren Hutton
Jonathan Pryce
Ethan Hawke
Meredith Salenger
James Spader
Jessica Lange
Doug McKeon
Mary Beth Hurt
John Erwin
Jeff Goldblum
Geraldine Page
Jimmy Keegan
Biff Yeager
Kurt Thomas
Lori Cardille
Bettina Bush
John Stockwell
Raymond Burr
Lewis Smith
Sting
Joe Colligan
Stephen Geoffreys
Helen Slater
Mario Van Peebles
John Scott Clough
Glenn Close
Miranda Richardson
Bruno Lawrence
Jeffrey Combs
Miles A. Copeland III
Kevin Costner
Vanessa Redgrave
Coral Browne
Bev Francis
Ed Harris
Ken Ogata
Joanne Pearce
Isabelle Adjani
Richard Farnsworth
Rob Morrow
Shannon Presby
Timothy Dalton
Brooke Adams
Héctor Alterio
Moreno D'E Bartolli
Klaus Maria Brandauer
Paul Hogan
Keith David
Sigourney Weaver
Pat Morita
Erica Yohn
J.L. Reate
Danny DeVito
Wil Wheaton
Kathleen Turner
Ally Sheedy
Levi Stubbs
Gregory Hines
Lea Thompson
Barbara Hershey
Whoopi Goldberg
Vincent Price
Louis Gossett Jr.
Thom Mathews
Angela O'Neill
Joey Cramer
Jay Baker
Jonathan Silverman
Kate Capshaw
Matthew Labyorteaux
Isabella Rossellini
Hadley Kay
Jeff Daniels
Corey Haim
Dennis Hopper
Todd Allen
Lucy Deakins
Tracy Camilla Johns
Marc Price
Mary Tyler Moore
Ted Danson
Christopher Lambert
Norman Alden
Bob Hoskins
Noah Hathaway
Karen Black
Stephen Lang
Mitchell Gaylord
Judge Reinhold
Deborah Foreman
Peter Elliott
Kurt McKinney
Craig Sheffer
Andrew Prine
Bryan Brown
John Lithgow
Charlie Sheen
Mike Norris
Dexter Gordon
Shari Shattuck
Jonathan Crombie
Gary Oldman
Scott Valentine
Daniel Jordano
Mel Blanc
David Dukes
John Goodman
Linda Carol
Scott McGinnis
Bill Allen
Jean-Hugues Anglade
Daryl Hannah
Wayne Crawford
Dominique Michel
James Remar
Elisabeth Shue
Richard Jordan
Tom Waits
Roddy McDowall
Victor Love
Bob Arbogast
Laura Morante
Laurie Anderson
Patsy Kensit
